Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000002000000 CH2:0.0000002000000,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.00204800000,11.20000,-7.60000
Vertical Scale,CH1:5.00 CH2:5.00,,-0.00204780000,11.20000,-7.60000
Vertical Offset,CH1:4.40000 CH2:-10.00000,,-0.00204760000,11.20000,-7.60000
Horizontal Units,s,,-0.00204740000,11.20000,-7.80000
Horizontal Scale,0.0001000000,,-0.00204720000,11.20000,-7.60000
Model Number,SDS1072CML,,-0.00204700000,11.20000,-7.60000
Serial Number,SDS100P2150690,,-0.00204680000,11.20000,-7.60000
Software Version,5.01.02.29,,-0.00204660000,11.00000,-7.60000
,,,-0.00204640000,11.20000,-7.60000
,,,-0.00204620000,11.20000,-7.60000
,,,-0.00204600000,11.20000,-7.60000
,,,-0.00204580000,11.20000,-7.80000
,,,-0.00204560000,11.00000,-7.60000
,,,-0.00204540000,11.20000,-7.60000
,,,-0.00204520000,11.00000,-7.80000
,,,-0.00204500000,11.20000,-7.60000
,,,-0.00204480000,11.20000,-7.60000
,,,-0.00204460000,11.20000,-7.60000
,,,-0.00204440000,11.20000,-7.60000
,,,-0.00204420000,11.20000,-7.80000
,,,-0.00204400000,11.20000,-7.60000
,,,-0.00204380000,11.20000,-7.60000
,,,-0.00204360000,11.20000,-7.80000
,,,-0.00204340000,11.00000,-7.60000
,,,-0.00204320000,11.20000,-7.60000
,,,-0.00204300000,11.20000,-7.60000
,,,-0.00204280000,11.20000,-7.60000
,,,-0.00204260000,11.20000,-7.60000
,,,-0.00204240000,11.20000,-7.60000
,,,-0.00204220000,11.20000,-7.60000
,,,-0.00204200000,11.20000,-7.60000
,,,-0.00204180000,11.20000,-7.60000
,,,-0.00204160000,11.20000,-7.60000
,,,-0.00204140000,11.20000,-7.60000
,,,-0.00204120000,11.20000,-7.80000
,,,-0.00204100000,11.20000,-7.60000
,,,-0.00204080000,11.20000,-7.60000
,,,-0.00204060000,11.20000,-7.60000
,,,-0.00204040000,11.20000,-7.60000
,,,-0.00204020000,11.20000,-7.60000
,,,-0.00204000000,11.00000,-7.80000
,,,-0.00203980000,11.20000,-7.60000
,,,-0.00203960000,11.20000,-7.80000
,,,-0.00203940000,11.20000,-7.60000
,,,-0.00203920000,11.20000,-7.60000
,,,-0.00203900000,11.20000,-7.60000
,,,-0.00203880000,11.20000,-7.80000
,,,-0.00203860000,11.20000,-7.60000
,,,-0.00203839984,11.20000,-7.60000
,,,-0.00203819984,11.00000,-7.80000
,,,-0.00203799984,11.20000,-7.80000
,,,-0.00203779984,11.20000,-7.80000
,,,-0.00203759984,11.20000,-7.60000
,,,-0.00203739984,11.20000,-7.60000
,,,-0.00203719984,11.20000,-7.80000
,,,-0.00203699984,11.20000,-7.60000
,,,-0.00203679984,11.20000,-7.80000
,,,-0.00203659984,11.20000,-7.60000
,,,-0.00203640016,11.20000,-7.60000
,,,-0.00203620016,11.20000,-7.80000
,,,-0.00203600016,11.20000,-7.60000
,,,-0.00203580016,11.20000,-7.60000
,,,-0.00203560016,11.20000,-7.80000
,,,-0.00203540016,11.20000,-7.80000
,,,-0.00203520016,11.20000,-7.60000
,,,-0.00203500016,11.20000,-7.80000
,,,-0.00203480016,11.20000,-7.60000
,,,-0.00203460016,11.20000,-7.60000
,,,-0.00203440016,11.20000,-7.60000
,,,-0.00203420016,11.20000,-7.60000
,,,-0.00203400016,11.20000,-7.80000
,,,-0.00203380016,11.00000,-7.80000
,,,-0.00203360016,11.20000,-7.80000
,,,-0.00203340016,11.20000,-7.60000
,,,-0.00203320016,11.20000,-7.60000
,,,-0.00203300016,11.20000,-7.80000
,,,-0.00203280016,11.20000,-7.60000
,,,-0.00203260016,11.20000,-7.60000
,,,-0.00203240016,11.20000,-7.80000
,,,-0.00203220016,11.20000,-7.60000
,,,-0.00203200016,11.00000,-7.60000
,,,-0.00203180016,11.20000,-7.60000
,,,-0.00203160016,11.20000,-7.80000
,,,-0.00203140016,11.20000,-7.80000
,,,-0.00203120016,11.00000,-7.60000
,,,-0.00203100016,11.20000,-7.80000
,,,-0.00203080016,11.20000,-7.80000
,,,-0.00203060016,11.20000,-7.60000
,,,-0.00203040016,11.20000,-7.60000
,,,-0.00203020016,11.20000,-7.60000
,,,-0.00203000016,11.20000,-7.80000
,,,-0.00202980016,11.20000,-7.80000
,,,-0.00202960016,11.20000,-7.60000
,,,-0.00202940016,11.20000,-7.60000
,,,-0.00202920016,11.00000,-7.80000
